counter,county,state,address_cross
132,"El Paso","TX","10040   AUDOBON ST 80"
133,"El Paso","TX","10040   AUDOBON ST 81"
134,"El Paso","TX","10040   AUDOBON ST 97"
135,"El Paso","TX","10040   RAILROAD DR A"
136,"El Paso","TX","10044   GATEWAY NORTH BLVD"
137,"El Paso","TX","10049   CARIBOU DR B"
138,"El Paso","TX","1005 E WYOMING AVE 1"
139,"El Paso","TX","10051   RAILROAD DR 203"
140,"El Paso","TX","10056   WAPITI PL"
141,"El Paso","TX","10060   MCCOMBS ST   A"
142,"El Paso","TX","1007   MAGOFFIN AVE 6"
143,"El Paso","TX","1007   MOORE ST A"
144,"El Paso","TX","10072   OAKWOOD DR"
145,"El Paso","TX","1008   NEWMAN ST M"
146,"El Paso","TX","1008   PROSPECT ST C"
147,"El Paso","TX","1008 E NEVADA AVE C"
148,"El Paso","TX","1009 S ST VRAIN ST 45"
149,"El Paso","TX","1009 S ST VRAIN ST 45A"
150,"El Paso","TX","1009 S ST VRAIN ST 46B"
151,"El Paso","TX","10095   GIRL SCOUT WAY"
152,"El Paso","TX","10095   MCCOMBS ST 1"
153,"El Paso","TX","10095   MCCOMBS ST 13"
154,"El Paso","TX","101 S EL PASO ST 1206"
155,"El Paso","TX","101 S EL PASO ST 619"
156,"El Paso","TX","101 S EL PASO ST 639"
157,"El Paso","TX","101 S EL PASO ST 935"
158,"El Paso","TX","101 S FESTIVAL DR C3"
159,"El Paso","TX","1010   LOMA VERDE DR   34"
160,"El Paso","TX","1010   LOMA VERDE DR   38"
161,"El Paso","TX","1010   LOMA VERDE DR   4"
162,"El Paso","TX","1010   LOMA VERDE DR 101"
163,"El Paso","TX","1010   LOMA VERDE DR 122"
164,"El Paso","TX","1010   LOMA VERDE DR 122 12"
165,"El Paso","TX","1010   LOMA VERDE DR 124 12"
166,"El Paso","TX","1010   LOMA VERDE DR 132 13"
167,"El Paso","TX","1010   LOMA VERDE DR 133"
168,"El Paso","TX","1010   LOMA VERDE DR 141 14"
169,"El Paso","TX","1010   LOMA VERDE DR 142 14"
170,"El Paso","TX","1010   LOMA VERDE DR 142 A"
171,"El Paso","TX","1010   LOMA VERDE DR 151"
172,"El Paso","TX","1010   LOMA VERDE DR 152 15"
173,"El Paso","TX","1010   LOMA VERDE DR 154 15"
174,"El Paso","TX","1010   LOMA VERDE DR 184 18"
175,"El Paso","TX","1010   LOMA VERDE DR 193"
176,"El Paso","TX","1010   LOMA VERDE DR 203"
177,"El Paso","TX","1010   LOMA VERDE DR 203 20"
178,"El Paso","TX","1010   LOMA VERDE DR 222"
179,"El Paso","TX","1010   LOMA VERDE DR 222 22"
180,"El Paso","TX","1010   LOMA VERDE DR 234 23"
181,"El Paso","TX","1010   LOMA VERDE DR 252"
182,"El Paso","TX","1010   LOMA VERDE DR 252 25"
183,"El Paso","TX","1010   LOMA VERDE DR 254"
184,"El Paso","TX","1010   LOMA VERDE DR 254 F"
185,"El Paso","TX","1010   LOMA VERDE DR 272"
186,"El Paso","TX","1010   LOMA VERDE DR 283 28"
187,"El Paso","TX","1010   LOMA VERDE DR 291"
188,"El Paso","TX","1010   LOMA VERDE DR 301 30"
189,"El Paso","TX","1010   LOMA VERDE DR 313"
190,"El Paso","TX","1010   LOMA VERDE DR 313 35"
191,"El Paso","TX","1010   LOMA VERDE DR 33 3"
192,"El Paso","TX","1010   LOMA VERDE DR 343"
193,"El Paso","TX","1010   LOMA VERDE DR 352 35"
194,"El Paso","TX","1010   LOMA VERDE DR 363 36"
195,"El Paso","TX","1010   LOMA VERDE DR 383 38"
196,"El Paso","TX","1010   LOMA VERDE DR 61 6"
197,"El Paso","TX","1010   LOMA VERDE DR 72"
198,"El Paso","TX","1010   LOMA VERDE DR 73"
199,"El Paso","TX","1010   LOMA VERDE DR 81"
200,"El Paso","TX","1010   LOMA VERDE DR 81 8"
201,"El Paso","TX","1010   LOMA VERDE DR 82 8"
202,"El Paso","TX","1010   LOMA VERDE DR 83 383"
203,"El Paso","TX","1010 S ST VRAIN ST 40"
204,"El Paso","TX","10100   HEDGEROW CT 11"
205,"El Paso","TX","10100   HEDGEROW CT 52"
206,"El Paso","TX","10101   MONTWOOD DR 69"
207,"El Paso","TX","10107   HEDGEROW CT 44"
208,"El Paso","TX","10109   LUELLA DR A"
209,"El Paso","TX","1011 E YANDELL DR 10"
210,"El Paso","TX","1011 E YANDELL DR 3"
211,"El Paso","TX","1011 E YANDELL DR 9"
212,"El Paso","TX","1011 S ST VRAIN ST 47"
213,"El Paso","TX","1011 S ST VRAIN ST 48"
214,"El Paso","TX","10118   PHEASANT RD B"
215,"El Paso","TX","1012 E WYOMING AVE 3"
216,"El Paso","TX","1012 N KANSAS ST B"
217,"El Paso","TX","1012 N OREGON ST 14"
218,"El Paso","TX","10120   MONTWOOD DR   M"
219,"El Paso","TX","10120   MONTWOOD DR M"
220,"El Paso","TX","1014   ELM ST 24"
221,"El Paso","TX","1014   MYRTLE AVE 7"
222,"El Paso","TX","1014 E YANDELL DR 6"
223,"El Paso","TX","10140   MONTANA AVE D"
224,"El Paso","TX","1015 E NINTH AVE 45"
225,"El Paso","TX","1015 E YANDELL DR B"
226,"El Paso","TX","1015 E YANDELL DR C"
227,"El Paso","TX","1015-1/2 E YANDELL DR"
228,"El Paso","TX","1016 N OREGON ST 2"
229,"El Paso","TX","1016 S CAMPBELL ST 2"
230,"El Paso","TX","1017   MAGOFFIN AVE 1"
231,"El Paso","TX","1018   ELM ST 23"
232,"El Paso","TX","1018 N FLORENCE ST 2"
233,"El Paso","TX","1019   ELM ST 10"
234,"El Paso","TX","1019   TAYS ST   1"
235,"El Paso","TX","1019   TAYS ST 1 A"
236,"El Paso","TX","1019   TAYS ST 3"
237,"El Paso","TX","102 N GRAMA ST 2"
238,"El Paso","TX","102 S SAN MARCIAL ST 1"
239,"El Paso","TX","102 S SAN MARCIAL ST 1 B"
240,"El Paso","TX","1020   BRO"
241,"El Paso","TX","1020   CEDAR ST A"
242,"El Paso","TX","1020   CEDAR ST F"
243,"El Paso","TX","1020   MAGOFFIN AVE 18"
244,"El Paso","TX","1020 E SIXTH AVE 28A"
245,"El Paso","TX","1020 N CAMPBELL ST 12"
246,"El Paso","TX","1020 S MESA HILLS DR 3905"
247,"El Paso","TX","1020 S MESA HILLS DR 3905 3"
248,"El Paso","TX","1020 S MESA HILLS DR 3905 39"
249,"El Paso","TX","1020 S MESA HILLS DR 4202"
250,"El Paso","TX","1020 S MESA HILLS DR 4204"
251,"El Paso","TX","1020 S MESA HILLS DR 4304 4"
252,"El Paso","TX","1020 S MESA HILLS DR 4601"
253,"El Paso","TX","1020 S MESA HILLS DR 4601 46"
254,"El Paso","TX","1020 S MESA HILLS DR 4608"
255,"El Paso","TX","1020 S MESA HILLS DR 4609"
256,"El Paso","TX","1020 S MESA HILLS DR 4610"
257,"El Paso","TX","1020 S MESA HILLS DR 4704"
258,"El Paso","TX","1020 S MESA HILLS DR 4820"
259,"El Paso","TX","1020 S MESA HILLS DR 4904"
260,"El Paso","TX","1020 S MESA HILLS DR 4906"
261,"El Paso","TX","1020 S MESA HILLS DR 5004"
262,"El Paso","TX","1020 S MESA HILLS DR 5012 D"
263,"El Paso","TX","1020 S MESA HILLS DR 5013 50"
264,"El Paso","TX","10200   HEDGEROW CT   4"
265,"El Paso","TX","10200   HEDGEROW CT 9201"
266,"El Paso","TX","10200   WHITETAIL DR B"
267,"El Paso","TX","10201   GATEWAY WEST BLVD 100"
268,"El Paso","TX","10207   NIAGRA FALLS PL"
269,"El Paso","TX","10207   NIAGRA FALLS PL B"
270,"El Paso","TX","10207   SILVER STAND"
271,"El Paso","TX","10208   NIAGRA FALLS PL"
272,"El Paso","TX","1021   MAGOFFIN AVE 13"
273,"El Paso","TX","1021   MAGOFFIN AVE 14"
274,"El Paso","TX","1021   MAGOFFIN AVE 15"
275,"El Paso","TX","1022   ARIZONA AVE B"
276,"El Paso","TX","1022   GILES RD"
277,"El Paso","TX","10222   NIAGRA FALLS PL"
278,"El Paso","TX","1023 E OLIVAS V AOY AVE"
279,"El Paso","TX","1024 N OREGON ST 14"
280,"El Paso","TX","1024 N OREGON ST 6"
281,"El Paso","TX","1025   MAGOFFIN AVE 1"
282,"El Paso","TX","1025 E YANDELL DR 7"
283,"El Paso","TX","1025 N CAROLINA DR B"
284,"El Paso","TX","1025 N ZARAGOZA RD   C"
285,"El Paso","TX","1027   ARIZONA AVE 1"
286,"El Paso","TX","10275   ALCAN ST 111"
287,"El Paso","TX","10278   VISTA DEL SOL"
288,"El Paso","TX","1028 E WYOMING AVE 2"
289,"El Paso","TX","10280   MONTANA AVE   A"
290,"El Paso","TX","10280   MONTANA AVE   F"
291,"El Paso","TX","10280   MONTANA AVE F"
292,"El Paso","TX","10280   SHENANDOAH ST"
293,"El Paso","TX","10289   DYER ST A"
294,"El Paso","TX","1029   BELVIDERE ST"
295,"El Paso","TX","1029   SUNLAND PARK DR 59"
296,"El Paso","TX","1029 E MISSOURI AVE 2"
297,"El Paso","TX","1029 N OREGON ST 13"
298,"El Paso","TX","103 W MILLS AVE"
299,"El Paso","TX","1030 E WYOMING AVE 1"
300,"El Paso","TX","10300   JANWAY"
301,"El Paso","TX","10300   MCCOBMS"
302,"El Paso","TX","10301   GATEWAY WEST BLVD 307A"
303,"El Paso","TX","10301   GATEWAY WEST BLVD 338"
304,"El Paso","TX","10301   GATEWAY WEST BLVD 358"
305,"El Paso","TX","10301   GATEWAY WEST BLVD 566 5"
306,"El Paso","TX","10301   GATEWAY WEST BLVD ER 30"
307,"El Paso","TX","10301   GATEWAY WEST BLVD ER13"
308,"El Paso","TX","10301   GATEWAY WEST BLVD TR23"
309,"El Paso","TX","10310   MCCOMBS ST D"
310,"El Paso","TX","10320   KAYWOOD DR"
311,"El Paso","TX","1033   HUMBLE PL 100 I"
312,"El Paso","TX","10330   GATEWAY NORTH BLVD   10H"
313,"El Paso","TX","10330   GATEWAY NORTH BLVD   9"
314,"El Paso","TX","10330   GATEWAY NORTH BLVD 13 E"
315,"El Paso","TX","10330   GATEWAY NORTH BLVD 13A"
316,"El Paso","TX","10330   GATEWAY NORTH BLVD 16 F"
317,"El Paso","TX","10330   GATEWAY NORTH BLVD 16F 16"
318,"El Paso","TX","10330   GATEWAY NORTH BLVD 18 C"
319,"El Paso","TX","10330   GATEWAY NORTH BLVD 1B 1"
320,"El Paso","TX","10330   GATEWAY NORTH BLVD 1D"
321,"El Paso","TX","10330   GATEWAY NORTH BLVD 2 A"
322,"El Paso","TX","10330   GATEWAY NORTH BLVD 2 H"
323,"El Paso","TX","10330   GATEWAY NORTH BLVD 20 C"
324,"El Paso","TX","10330   GATEWAY NORTH BLVD 20B B"
325,"El Paso","TX","10330   GATEWAY NORTH BLVD 20C"
326,"El Paso","TX","10330   GATEWAY NORTH BLVD 21B"
327,"El Paso","TX","10330   GATEWAY NORTH BLVD 2E"
328,"El Paso","TX","10330   GATEWAY NORTH BLVD 2H"
329,"El Paso","TX","10330   GATEWAY NORTH BLVD 2H 15"
330,"El Paso","TX","10330   GATEWAY NORTH BLVD 4 A"
331,"El Paso","TX","10330   GATEWAY NORTH BLVD 4 F"
332,"El Paso","TX","10330   GATEWAY NORTH BLVD 4 H"
333,"El Paso","TX","10330   GATEWAY NORTH BLVD 5G"
334,"El Paso","TX","10330   GATEWAY NORTH BLVD B 11"
335,"El Paso","TX","10330   GATEWAY NORTH BLVD B 12"
336,"El Paso","TX","10330   GATEWAY NORTH BLVD C 2"
337,"El Paso","TX","10330   GATEWAY NORTH BLVD E 2"
338,"El Paso","TX","10330   GROUSE RD 17"
339,"El Paso","TX","10330N   GATEWAY NORTH BLVD 20C"
340,"El Paso","TX","10333   GROUSE RD 1"
341,"El Paso","TX","10333   GROUSE RD 103 B"
342,"El Paso","TX","10333   GROUSE RD 107"
343,"El Paso","TX","10333   GROUSE RD 123B"
344,"El Paso","TX","10333   GROUSE RD 129 B"
345,"El Paso","TX","10333   GROUSE RD 129B"
346,"El Paso","TX","10333   GROUSE RD 142"
347,"El Paso","TX","10333   GROUSE RD 157"
348,"El Paso","TX","10333   GROUSE RD 158"
349,"El Paso","TX","10333   GROUSE RD 1718"
350,"El Paso","TX","10333   GROUSE RD 2"
351,"El Paso","TX","10333   GROUSE RD 21"
352,"El Paso","TX","10333   GROUSE RD 27"
353,"El Paso","TX","10333   GROUSE RD 28"
354,"El Paso","TX","10333   GROUSE RD 43B"
355,"El Paso","TX","10333   GROUSE RD 45 A"
356,"El Paso","TX","10333   GROUSE RD 48"
357,"El Paso","TX","10333   GROUSE RD 76A"
358,"El Paso","TX","10333   GROUSE RD 78"
359,"El Paso","TX","10333   GROUSE RD 89"
360,"El Paso","TX","10333   GROUSE RD 90B"
361,"El Paso","TX","10333   GROUSE RD 93"
362,"El Paso","TX","10333   GROUSE RD 98"
363,"El Paso","TX","10336   WILL"
364,"El Paso","TX","1034 N CLARK DR 20"
365,"El Paso","TX","1035   BELVIDERE ST 173"
366,"El Paso","TX","10350   MONTANA AVE 214 B"
367,"El Paso","TX","10350   MONTANA AVE 301B"
368,"El Paso","TX","10353   GATEWAY SOUTH BLVD"
369,"El Paso","TX","1039   SUNLAND PARK DR 10"
370,"El Paso","TX","1039   SUNLAND PARK DR 101"
371,"El Paso","TX","1039   SUNLAND PARK DR 120"
372,"El Paso","TX","1039   SUNLAND PARK DR 41"
373,"El Paso","TX","1039   SUNLAND PARK DR 48"
374,"El Paso","TX","1039   SUNLAND PARK DR 9"
375,"El Paso","TX","104   ANITA CIR C"
376,"El Paso","TX","104   VILLA NUEVA PL"
377,"El Paso","TX","10400   ALAMEDA AVE SISD"
378,"El Paso","TX","10400   BONAIR"
379,"El Paso","TX","10400   BRIAN"
380,"El Paso","TX","10400   DYER ST REAR"
381,"El Paso","TX","10400   GWW"
382,"El Paso","TX","10400   MCC"
383,"El Paso","TX","10400   RAILROAD DR   A"
384,"El Paso","TX","10400   RAILROAD DR 4 A"
385,"El Paso","TX","10400   SALEM"
386,"El Paso","TX","10406   RUSHING RD 18 C"
387,"El Paso","TX","10406   RUSHING RD 20"
388,"El Paso","TX","10406   RUSHING RD 20 A"
389,"El Paso","TX","10406   RUSHING RD 23 C"
390,"El Paso","TX","10412   VISTA DEL SOL DR 1A"
391,"El Paso","TX","10414   DYER ST 25"
392,"El Paso","TX","10414   DYER ST 9A"
393,"El Paso","TX","10436   SPRINGWOOD DR"
394,"El Paso","TX","10438   MONTE CARLO PL B"
395,"El Paso","TX","1045   MAGRUDER @ VIVA POWERSPORTS"
396,"El Paso","TX","1045   MAGRUDER VIVA POWER SPORTS"
397,"El Paso","TX","1045   SUNLAND PARK DR 114"
398,"El Paso","TX","1045   SUNLAND PARK DR 203"
399,"El Paso","TX","1045   SUNLAND PARK DR 208"
400,"El Paso","TX","1045   SUNLAND PARK DR 211"
401,"El Paso","TX","1045   SUNLAND PARK DR 213"
402,"El Paso","TX","1045   SUNLAND PARK DR LOBBY"
403,"El Paso","TX","10452   HODGES CIR **VICIOUS K9**"
404,"El Paso","TX","10470   VISTA DEL SOL DR   103"
405,"El Paso","TX","10470   VISTA DEL SOL DR 208"
406,"El Paso","TX","1048   CEDAR ST"
407,"El Paso","TX","105   GEISLER CT REAR"
408,"El Paso","TX","105 E CASTELLANO DR B"
409,"El Paso","TX","105 S PIEDRAS ST"
410,"El Paso","TX","1050   SUNLAND PARK DR   B"
411,"El Paso","TX","1050   SUNLAND PARK DR B100"
412,"El Paso","TX","1050   SUNLAND PARK DR B200"
413,"El Paso","TX","10500   ASHWOOD DR 305"
414,"El Paso","TX","10500   PALOMINO ATL"
415,"El Paso","TX","10500   SHANNON PL A"
416,"El Paso","TX","10501   ASHWOOD DR 401"
417,"El Paso","TX","10501   GATEWAY WEST BLVD   830"
418,"El Paso","TX","10501   GATEWAY WEST BLVD 8"
419,"El Paso","TX","10501   GRAN CIMA LN 103"
420,"El Paso","TX","10501   MONTWOOD DR 101"
421,"El Paso","TX","10501   MONTWOOD DR 15"
422,"El Paso","TX","10501   MONTWOOD DR 25"
423,"El Paso","TX","10501   MONTWOOD DR 26"
424,"El Paso","TX","10501   MONTWOOD DR 3 A"
425,"El Paso","TX","10501   MONTWOOD DR 33 6"
426,"El Paso","TX","10501   MONTWOOD DR 4"
427,"El Paso","TX","10501   MONTWOOD DR 42"
428,"El Paso","TX","10501   MONTWOOD DR 49 B"
429,"El Paso","TX","10501   MONTWOOD DR 54 8"
430,"El Paso","TX","10501   MONTWOOD DR 68 11"
431,"El Paso","TX","10501   MONTWOOD DR 73"
432,"El Paso","TX","10501   MONTWOOD DR 83 15"
433,"El Paso","TX","10501   MONTWOOD DR 9"
434,"El Paso","TX","10501   MONTWOOD DR 93 Z"
435,"El Paso","TX","10501   MONTWOOD DR 97"
436,"El Paso","TX","10501   MONTWOOD DR 99"
437,"El Paso","TX","10501   VISTA DEL SOL DR 114"
438,"El Paso","TX","10503   MONTWOOD DR 73"
439,"El Paso","TX","10504   PALOMINO ST"
440,"El Paso","TX","10505   GRAN CIMA LN   406"
441,"El Paso","TX","10505   GRAN CIMA LN   D"
442,"El Paso","TX","10505   GRAN CIMA LN 102 A"
443,"El Paso","TX","10505   GRAN CIMA LN 103"
444,"El Paso","TX","10505   GRAN CIMA LN 109 A"
445,"El Paso","TX","10505   GRAN CIMA LN 112 A"
446,"El Paso","TX","10505   GRAN CIMA LN 211 A"
447,"El Paso","TX","10505   GRAN CIMA LN 305 C"
448,"El Paso","TX","10505   GRAN CIMA LN 31 D"
449,"El Paso","TX","10505   GRAN CIMA LN 409 B"
450,"El Paso","TX","10505   GRAN CIMA LN 409 D"
451,"El Paso","TX","10505   GRAN CIMA LN 409 E"
452,"El Paso","TX","10505   GRAN CIMA LN 502 E"
453,"El Paso","TX","10505   GRAN CIMA LN 505 E"
454,"El Paso","TX","10505   GRAN CIMA LN 507 A"
455,"El Paso","TX","10505   GRAN CIMA LN 602 F"
456,"El Paso","TX","10505   GRAN CIMA LN 610 F"
457,"El Paso","TX","10505   GRAN CIMA LN 705 A"
