counter,county,state,address_cross,latitude,longitude,match_score,GEOID
78,El Paso,TX,10009   GIRL SCOUT WAY,31.8992976,-106.4243395,7,481410001124
79,El Paso,TX,10009   RUSHING RD 12 C,31.899908,-106.4209646,9,481410001103
80,El Paso,TX,10009   RUSHING RD 19,31.899908,-106.4209646,9,481410001103
81,El Paso,TX,10009   RUSHING RD 21,31.899908,-106.4209646,9,481410001103
82,El Paso,TX,10009   RUSHING RD 23,31.899908,-106.4209646,9,481410001103
83,El Paso,TX,10009   RUSHING RD 28,31.899908,-106.4209646,9,481410001103
84,El Paso,TX,10009   RUSHING RD 43,31.899908,-106.4209646,9,481410001103
85,El Paso,TX,10009   RUSHING RD 52,31.899908,-106.4209646,9,481410001103
86,El Paso,TX,10009   RUSHING RD 9,31.899908,-106.4209646,9,481410001103
87,El Paso,TX,1001 E NEVADA AVE 203,31.7707439,-106.4867638,9,481410022021
88,El Paso,TX,1001 E NEVADA AVE 6,31.7707439,-106.4867638,9,481410022021
89,El Paso,TX,1001 S OCHOA ST   812,31.750926,-106.479687,9,481410019003
90,El Paso,TX,1001 S OCHOA ST 3,31.750926,-106.479687,9,481410019003
91,El Paso,TX,1001 S OCHOA ST 313,31.750926,-106.479687,9,481410019003
92,El Paso,TX,1001 S OCHOA ST 410,31.750926,-106.479687,9,481410019003
93,El Paso,TX,1001 S OCHOA ST 413,31.750926,-106.479687,9,481410019003
94,El Paso,TX,1001 S OCHOA ST 803,31.750926,-106.479687,9,481410019003
95,El Paso,TX,1001 S OCHOA ST 808,31.750926,-106.479687,9,481410019003
96,El Paso,TX,1001 W MISSOURI AVE 4,31.7609136,-106.5015945,9,481410016005
97,El Paso,TX,10011   CARIBOU DR 7,31.9001177,-106.3949958,9,481410002071
98,El Paso,TX,10015   CARIBOU DR B,31.9004882,-106.3949728,9,481410002071
99,El Paso,TX,10019   CARIBOU DR A,31.9008828,-106.3949332,9,481410002071
100,El Paso,TX,1002   ARIZONA AVE 2,31.7697251,-106.4857168,9,481410022021
101,El Paso,TX,1002   ARIZONA AVE 3,31.7697251,-106.4857168,9,481410022021
102,El Paso,TX,1002 S HILLS ST 3,31.7521276,-106.4760862,9,481410020002
103,El Paso,TX,10020   CARIBOU DR D,31.900981,-106.3943518,9,481410002071
104,El Paso,TX,10020   FER,31.7847322,-106.3847954,9,481410034033
105,El Paso,TX,10021   RAILROAD DR 104,31.901234,-106.389375,9,481410002072
106,El Paso,TX,10021   RAILROAD DR 402,31.901234,-106.389375,9,481410002072
107,El Paso,TX,10021   RAILROAD DR 402 4,31.901234,-106.389375,9,481410002072
108,El Paso,TX,10021   RAILROAD DR 501,31.901234,-106.389375,9,481410002072
109,El Paso,TX,10021   RAILROAD DR 503,31.901234,-106.389375,9,481410002072
110,El Paso,TX,10028   GIEZELL,0.0,0.0,0,
111,El Paso,TX,10029   LOCKERBIE AVE,31.7841077,-106.3482336,7,481410043112
112,El Paso,TX,10035   MONTWOOD DR 13,31.771266,-106.349861,9,481410043032
113,El Paso,TX,10035   MONTWOOD DR 23,31.771266,-106.349861,9,481410043032
114,El Paso,TX,10035   MONTWOOD DR 25,31.771266,-106.349861,9,481410043032
115,El Paso,TX,10036   CARIBOU DR A,31.9017717,-106.3944208,9,481410002071
116,El Paso,TX,1004   ATWOOD DR,31.7356933,-106.3345831,9,481410041063
117,El Paso,TX,1004   DIESEL DR A,31.7187965,-106.313959,9,481410041032
118,El Paso,TX,1004-1/2   PROSPECT ST,31.7634552,-106.5002943,9,481410016004
119,El Paso,TX,10040   AUDOBON ST 111,31.900167,-106.414271,9,481410001103
120,El Paso,TX,10040   AUDOBON ST 115,31.900167,-106.414271,9,481410001103
121,El Paso,TX,10040   AUDOBON ST 125 9,31.900167,-106.414271,9,481410001103
122,El Paso,TX,10040   AUDOBON ST 135,31.900167,-106.414271,9,481410001103
123,El Paso,TX,10040   AUDOBON ST 146,31.900167,-106.414271,9,481410001103
124,El Paso,TX,10040   AUDOBON ST 155,31.900167,-106.414271,9,481410001103
125,El Paso,TX,10040   AUDOBON ST 21,31.900167,-106.414271,9,481410001103
126,El Paso,TX,10040   AUDOBON ST 22,31.900167,-106.414271,9,481410001103
127,El Paso,TX,10040   AUDOBON ST 27 6,31.900167,-106.414271,9,481410001103
128,El Paso,TX,10040   AUDOBON ST 4,31.900167,-106.414271,9,481410001103
129,El Paso,TX,10040   AUDOBON ST 65,31.900167,-106.414271,9,481410001103
130,El Paso,TX,10040   AUDOBON ST 66,31.900167,-106.414271,9,481410001103
131,El Paso,TX,10040   AUDOBON ST 67,31.900167,-106.414271,9,481410001103
132,El Paso,TX,10040   AUDOBON ST 80,31.900167,-106.414271,9,481410001103
133,El Paso,TX,10040   AUDOBON ST 81,31.900167,-106.414271,9,481410001103
134,El Paso,TX,10040   AUDOBON ST 97,31.900167,-106.414271,9,481410001103
135,El Paso,TX,10040   RAILROAD DR A,31.9004127,-106.3892129,7,481410002072
136,El Paso,TX,10044   GATEWAY NORTH BLVD,31.8994625,-106.4408278,7,481410001111
137,El Paso,TX,10049   CARIBOU DR B,31.9024274,-106.3949649,9,481410002071
138,El Paso,TX,1005 E WYOMING AVE 1,31.7672572,-106.4833583,9,481410022024
139,El Paso,TX,10051   RAILROAD DR 203,31.9025487,-106.3887322,9,481410002072
140,El Paso,TX,10056   WAPITI PL,31.902761,-106.3921668,9,481410002072
141,El Paso,TX,10060   MCCOMBS ST   A,31.901502,-106.4062345,9,481410002071
142,El Paso,TX,1007   MAGOFFIN AVE 6,31.7596076,-106.4821388,9,481410017001
143,El Paso,TX,1007   MOORE ST A,31.7865527,-106.4985506,9,481410015014
144,El Paso,TX,10072   OAKWOOD DR,31.90167499999999,-106.4275436,9,481410001124
145,El Paso,TX,1008   NEWMAN ST M,31.7725437,-106.4806892,9,481410022012
146,El Paso,TX,1008   PROSPECT ST C,31.7635606,-106.5004784,9,481410016005
147,El Paso,TX,1008 E NEVADA AVE C,31.7705202,-106.4861655,9,481410022021
148,El Paso,TX,1009 S ST VRAIN ST 45,31.7517219,-106.4774678,9,481410019003
149,El Paso,TX,1009 S ST VRAIN ST 45A,31.7517219,-106.4774678,9,481410019003
150,El Paso,TX,1009 S ST VRAIN ST 46B,31.7517219,-106.4774678,9,481410019003
151,El Paso,TX,10095   GIRL SCOUT WAY,31.9024585,-106.4248431,7,481410001124
152,El Paso,TX,10095   MCCOMBS ST 1,31.9024425,-106.407967,9,481410001102
153,El Paso,TX,10095   MCCOMBS ST 13,31.9024425,-106.407967,9,481410001102
154,El Paso,TX,101 S EL PASO ST 1206,31.7575322,-106.4896401,9,481410017002
155,El Paso,TX,101 S EL PASO ST 619,31.7575322,-106.4896401,9,481410017002
156,El Paso,TX,101 S EL PASO ST 639,31.7575322,-106.4896401,9,481410017002
157,El Paso,TX,101 S EL PASO ST 935,31.7575322,-106.4896401,9,481410017002
158,El Paso,TX,101 S FESTIVAL DR C3,31.8180241,-106.5158389,7,481410011151
159,El Paso,TX,1010   LOMA VERDE DR   34,31.7095958,-106.2820996,9,481410103381
160,El Paso,TX,1010   LOMA VERDE DR   38,31.7095958,-106.2820996,9,481410103381
161,El Paso,TX,1010   LOMA VERDE DR   4,31.7095958,-106.2820996,9,481410103381
162,El Paso,TX,1010   LOMA VERDE DR 101,31.7095958,-106.2820996,9,481410103381
163,El Paso,TX,1010   LOMA VERDE DR 122,31.7095958,-106.2820996,9,481410103381
164,El Paso,TX,1010   LOMA VERDE DR 122 12,31.7095958,-106.2820996,9,481410103381
165,El Paso,TX,1010   LOMA VERDE DR 124 12,31.7095958,-106.2820996,9,481410103381
166,El Paso,TX,1010   LOMA VERDE DR 132 13,31.7095958,-106.2820996,9,481410103381
167,El Paso,TX,1010   LOMA VERDE DR 133,31.7095958,-106.2820996,9,481410103381
168,El Paso,TX,1010   LOMA VERDE DR 141 14,31.7095958,-106.2820996,9,481410103381
169,El Paso,TX,1010   LOMA VERDE DR 142 14,31.7095958,-106.2820996,9,481410103381
170,El Paso,TX,1010   LOMA VERDE DR 142 A,31.7095958,-106.2820996,9,481410103381
171,El Paso,TX,1010   LOMA VERDE DR 151,31.7095958,-106.2820996,9,481410103381
172,El Paso,TX,1010   LOMA VERDE DR 152 15,31.7095958,-106.2820996,9,481410103381
173,El Paso,TX,1010   LOMA VERDE DR 154 15,31.7095958,-106.2820996,9,481410103381
174,El Paso,TX,1010   LOMA VERDE DR 184 18,31.7095958,-106.2820996,9,481410103381
175,El Paso,TX,1010   LOMA VERDE DR 193,31.7095958,-106.2820996,9,481410103381
176,El Paso,TX,1010   LOMA VERDE DR 203,31.7095958,-106.2820996,9,481410103381
177,El Paso,TX,1010   LOMA VERDE DR 203 20,31.7095958,-106.2820996,9,481410103381
178,El Paso,TX,1010   LOMA VERDE DR 222,31.7095958,-106.2820996,9,481410103381
179,El Paso,TX,1010   LOMA VERDE DR 222 22,31.7095958,-106.2820996,9,481410103381
180,El Paso,TX,1010   LOMA VERDE DR 234 23,31.7095958,-106.2820996,9,481410103381
181,El Paso,TX,1010   LOMA VERDE DR 252,31.7095958,-106.2820996,9,481410103381
182,El Paso,TX,1010   LOMA VERDE DR 252 25,31.7095958,-106.2820996,9,481410103381
183,El Paso,TX,1010   LOMA VERDE DR 254,31.7095958,-106.2820996,9,481410103381
184,El Paso,TX,1010   LOMA VERDE DR 254 F,31.7095958,-106.2820996,9,481410103381
185,El Paso,TX,1010   LOMA VERDE DR 272,31.7095958,-106.2820996,9,481410103381
186,El Paso,TX,1010   LOMA VERDE DR 283 28,31.7095958,-106.2820996,9,481410103381
187,El Paso,TX,1010   LOMA VERDE DR 291,31.7095958,-106.2820996,9,481410103381
188,El Paso,TX,1010   LOMA VERDE DR 301 30,31.7095958,-106.2820996,9,481410103381
189,El Paso,TX,1010   LOMA VERDE DR 313,31.7095958,-106.2820996,9,481410103381
190,El Paso,TX,1010   LOMA VERDE DR 313 35,31.7095958,-106.2820996,9,481410103381
191,El Paso,TX,1010   LOMA VERDE DR 33 3,31.7095958,-106.2820996,9,481410103381
192,El Paso,TX,1010   LOMA VERDE DR 343,31.7095958,-106.2820996,9,481410103381
193,El Paso,TX,1010   LOMA VERDE DR 352 35,31.7095958,-106.2820996,9,481410103381
194,El Paso,TX,1010   LOMA VERDE DR 363 36,31.7095958,-106.2820996,9,481410103381
195,El Paso,TX,1010   LOMA VERDE DR 383 38,31.7095958,-106.2820996,9,481410103381
196,El Paso,TX,1010   LOMA VERDE DR 61 6,31.7095958,-106.2820996,9,481410103381
197,El Paso,TX,1010   LOMA VERDE DR 72,31.7095958,-106.2820996,9,481410103381
198,El Paso,TX,1010   LOMA VERDE DR 73,31.7095958,-106.2820996,9,481410103381
199,El Paso,TX,1010   LOMA VERDE DR 81,31.7095958,-106.2820996,9,481410103381
200,El Paso,TX,1010   LOMA VERDE DR 81 8,31.7095958,-106.2820996,9,481410103381
201,El Paso,TX,1010   LOMA VERDE DR 82 8,31.7095958,-106.2820996,9,481410103381
202,El Paso,TX,1010   LOMA VERDE DR 83 383,31.7095958,-106.2820996,9,481410103381
203,El Paso,TX,1010 S ST VRAIN ST 40,31.7516651,-106.4769156,9,481410020002
204,El Paso,TX,10100   HEDGEROW CT 11,31.7940459,-106.345386,9,481410043103
205,El Paso,TX,10100   HEDGEROW CT 52,31.7940459,-106.345386,9,481410043103
206,El Paso,TX,10101   MONTWOOD DR 69,31.7707804,-106.3483336,9,481410043031
207,El Paso,TX,10107   HEDGEROW CT 44,31.7943857,-106.3460947,7,481410043103
208,El Paso,TX,10109   LUELLA DR A,31.7864026,-106.346724,9,481410043113
209,El Paso,TX,1011 E YANDELL DR 10,31.76810499999999,-106.4838185,9,481410022024
210,El Paso,TX,1011 E YANDELL DR 3,31.76810499999999,-106.4838185,9,481410022024
211,El Paso,TX,1011 E YANDELL DR 9,31.76810499999999,-106.4838185,9,481410022024
212,El Paso,TX,1011 S ST VRAIN ST 47,31.75146909999999,-106.4773894,7,481410019003
213,El Paso,TX,1011 S ST VRAIN ST 48,31.75146909999999,-106.4773894,7,481410019003
214,El Paso,TX,10118   PHEASANT RD B,31.9038806,-106.403989,9,481410002071
215,El Paso,TX,1012 E WYOMING AVE 3,31.7669721,-106.4829787,9,481410022025
216,El Paso,TX,1012 N KANSAS ST B,31.766285,-106.490694,9,481410016001
217,El Paso,TX,1012 N OREGON ST 14,31.764696,-106.4932312,9,481410016001
218,El Paso,TX,10120   MONTWOOD DR   M,31.7700368,-106.3478967,9,481410043183
219,El Paso,TX,10120   MONTWOOD DR M,31.7700368,-106.3478967,9,481410043183
220,El Paso,TX,1014   ELM ST 24,31.7846217,-106.4614917,7,481410026005
221,El Paso,TX,1014   MYRTLE AVE 7,31.7626493,-106.4789404,9,481410021001
222,El Paso,TX,1014 E YANDELL DR 6,31.7677765,-106.4833583,9,481410022024
223,El Paso,TX,10140   MONTANA AVE D,31.7955743,-106.3458054,9,481410043103
224,El Paso,TX,1015 E NINTH AVE 45,31.7509821,-106.47715,9,481410019003
225,El Paso,TX,1015 E YANDELL DR B,31.7681705,-106.483755,9,481410022024
226,El Paso,TX,1015 E YANDELL DR C,31.7681705,-106.483755,9,481410022024
227,El Paso,TX,1015-1/2 E YANDELL DR,31.7681705,-106.483755,9,481410022024
228,El Paso,TX,1016 N OREGON ST 2,31.7647222,-106.4931838,9,481410016001
229,El Paso,TX,1016 S CAMPBELL ST 2,31.7505887,-106.4809139,9,481410019003
230,El Paso,TX,1017   MAGOFFIN AVE 1,31.7623522,-106.478778,9,481410021001
231,El Paso,TX,1018   ELM ST 23,31.7846544,-106.4615108,7,481410026005
232,El Paso,TX,1018 N FLORENCE ST 2,31.7675709,-106.4891569,9,481410022023
233,El Paso,TX,1019   ELM ST 10,31.7849318,-106.4619601,9,481410026005
234,El Paso,TX,1019   TAYS ST   1,31.751737,-106.475311,9,481410020002
235,El Paso,TX,1019   TAYS ST 1 A,31.751737,-106.475311,9,481410020002
236,El Paso,TX,1019   TAYS ST 3,31.751737,-106.475311,9,481410020002
237,El Paso,TX,102 N GRAMA ST 2,31.7737944,-106.4521346,9,481410029001
238,El Paso,TX,102 S SAN MARCIAL ST 1,31.7728826,-106.4584954,7,481410028003
239,El Paso,TX,102 S SAN MARCIAL ST 1 B,31.7728826,-106.4584954,7,481410028003
240,El Paso,TX,1020   BRO,31.675771,-106.242802,9,481410103451
241,El Paso,TX,1020   CEDAR ST A,31.7845626,-106.4627884,9,481410026005
242,El Paso,TX,1020   CEDAR ST F,31.7845626,-106.4627884,9,481410026005
243,El Paso,TX,1020   MAGOFFIN AVE 18,31.7618445,-106.4784879,7,481410021002
244,El Paso,TX,1020 E SIXTH AVE 28A,31.753954,-106.4772533,7,481410020002
245,El Paso,TX,1020 N CAMPBELL ST 12,31.7669665,-106.4899623,9,481410022023
246,El Paso,TX,1020 S MESA HILLS DR 3905,31.8197143,-106.5512733,9,481410011042
247,El Paso,TX,1020 S MESA HILLS DR 3905 3,31.8197143,-106.5512733,9,481410011042
248,El Paso,TX,1020 S MESA HILLS DR 3905 39,31.8197143,-106.5512733,9,481410011042
249,El Paso,TX,1020 S MESA HILLS DR 4202,31.8197143,-106.5512733,9,481410011042
250,El Paso,TX,1020 S MESA HILLS DR 4204,31.8197143,-106.5512733,9,481410011042
251,El Paso,TX,1020 S MESA HILLS DR 4304 4,31.8197143,-106.5512733,9,481410011042
252,El Paso,TX,1020 S MESA HILLS DR 4601,31.8197143,-106.5512733,9,481410011042
253,El Paso,TX,1020 S MESA HILLS DR 4601 46,31.8197143,-106.5512733,9,481410011042
254,El Paso,TX,1020 S MESA HILLS DR 4608,31.8197143,-106.5512733,9,481410011042
255,El Paso,TX,1020 S MESA HILLS DR 4609,31.8197143,-106.5512733,9,481410011042
256,El Paso,TX,1020 S MESA HILLS DR 4610,31.8197143,-106.5512733,9,481410011042
257,El Paso,TX,1020 S MESA HILLS DR 4704,31.8197143,-106.5512733,9,481410011042
258,El Paso,TX,1020 S MESA HILLS DR 4820,31.8197143,-106.5512733,9,481410011042
259,El Paso,TX,1020 S MESA HILLS DR 4904,31.8197143,-106.5512733,9,481410011042
260,El Paso,TX,1020 S MESA HILLS DR 4906,31.8197143,-106.5512733,9,481410011042
261,El Paso,TX,1020 S MESA HILLS DR 5004,31.8197143,-106.5512733,9,481410011042
262,El Paso,TX,1020 S MESA HILLS DR 5012 D,31.8197143,-106.5512733,9,481410011042
263,El Paso,TX,1020 S MESA HILLS DR 5013 50,31.8197143,-106.5512733,9,481410011042
264,El Paso,TX,10200   HEDGEROW CT   4,31.794491,-106.342509,9,481410043103
265,El Paso,TX,10200   HEDGEROW CT 9201,31.794491,-106.342509,9,481410043103
266,El Paso,TX,10200   WHITETAIL DR B,31.9075153,-106.3970083,9,481410002072
267,El Paso,TX,10201   GATEWAY WEST BLVD 100,31.7572581,-106.351576,9,481410043182
268,El Paso,TX,10207   NIAGRA FALLS PL,31.906965,-106.4001509,9,481410002072
269,El Paso,TX,10207   NIAGRA FALLS PL B,31.906965,-106.4001509,9,481410002072
270,El Paso,TX,10207   SILVER STAND,31.906941,-106.400947,9,481410002072
271,El Paso,TX,10208   NIAGRA FALLS PL,31.907052,-106.399677,9,481410002072
272,El Paso,TX,1021   MAGOFFIN AVE 13,31.7624012,-106.4785263,9,481410021001
273,El Paso,TX,1021   MAGOFFIN AVE 14,31.7624012,-106.4785263,9,481410021001
